epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0674,2.76589,2.25723,1.61013,0.29947,0.23307,0.16687,0.05509,2.80092,2.12196,1.65754,0.000655914,0.000655914,0.000655914
2,88.4213,2.41803,1.87817,1.38222,0.49227,0.36107,0.35187,0.13857,2.21744,1.75004,1.35441,0.00130949,0.00130949,0.00130949
3,122.732,2.30146,1.77298,1.31385,0.62192,0.4028,0.42745,0.17451,2.14031,1.66429,1.2922,0.00194986,0.00194986,0.00194986
4,156.15,2.30625,1.77118,1.31542,0.56312,0.38341,0.39422,0.16309,2.18189,1.67624,1.32612,0.0019406,0.0019406,0.0019406
5,191.365,2.23167,1.70816,1.28386,0.62175,0.38554,0.43384,0.19432,2.06053,1.5883,1.2565,0.0019208,0.0019208,0.0019208
6,224.511,2.19784,1.65355,1.26528,0.63747,0.42787,0.46423,0.20695,2.03494,1.57002,1.24934,0.001901,0.001901,0.001901
7,258.401,2.18186,1.6571,1.259,0.67835,0.40383,0.4605,0.19133,2.06006,1.54436,1.22807,0.0018812,0.0018812,0.0018812
8,292.106,2.16448,1.62782,1.25352,0.69312,0.43173,0.49094,0.22418,1.96633,1.53278,1.21232,0.0018614,0.0018614,0.0018614
9,324.64,2.14781,1.62283,1.24765,0.65582,0.42934,0.48244,0.22136,1.96697,1.48622,1.20512,0.0018416,0.0018416,0.0018416
10,358.45,2.13366,1.59553,1.22031,0.7148,0.43213,0.50329,0.2385,1.9245,1.43513,1.19815,0.0018218,0.0018218,0.0018218
11,390.855,2.12425,1.59186,1.22547,0.72944,0.4452,0.51209,0.23839,1.93118,1.39787,1.19113,0.001802,0.001802,0.001802
12,423.542,2.10755,1.55573,1.20937,0.71858,0.43664,0.50447,0.24496,1.90811,1.42737,1.20154,0.0017822,0.0017822,0.0017822
13,457.476,2.10072,1.57923,1.21368,0.73632,0.44969,0.52344,0.26257,1.84641,1.36814,1.17689,0.0017624,0.0017624,0.0017624
14,490.059,2.06996,1.55418,1.20704,0.73255,0.46494,0.52996,0.2487,1.93283,1.38816,1.18764,0.0017426,0.0017426,0.0017426
15,522.864,2.10052,1.54523,1.20266,0.75258,0.45667,0.53604,0.26882,1.86296,1.33524,1.18161,0.0017228,0.0017228,0.0017228
16,556.073,2.04512,1.50339,1.19675,0.75408,0.47805,0.55291,0.27525,1.83429,1.313,1.16103,0.001703,0.001703,0.001703
17,588.619,2.03701,1.49028,1.18835,0.78621,0.49478,0.56555,0.28454,1.80759,1.32269,1.15459,0.0016832,0.0016832,0.0016832
18,622.473,2.01791,1.48109,1.1839,0.78171,0.48585,0.56422,0.28016,1.82966,1.31921,1.14936,0.0016634,0.0016634,0.0016634
19,654.829,1.99161,1.44441,1.17364,0.78019,0.50032,0.57606,0.30217,1.75806,1.24635,1.12914,0.0016436,0.0016436,0.0016436
20,687.226,1.99988,1.44612,1.16565,0.78694,0.49065,0.5766,0.29832,1.77453,1.26362,1.13901,0.0016238,0.0016238,0.0016238
21,721.574,1.9745,1.43683,1.1616,0.76775,0.47817,0.55785,0.26583,1.83775,1.29843,1.13907,0.001604,0.001604,0.001604
22,753.714,1.98278,1.42851,1.17037,0.79121,0.50779,0.58094,0.2903,1.79617,1.27437,1.1364,0.0015842,0.0015842,0.0015842
23,786.837,1.96196,1.41379,1.16349,0.79621,0.51529,0.58948,0.30959,1.73943,1.21138,1.12113,0.0015644,0.0015644,0.0015644
24,819.884,1.9755,1.42594,1.16199,0.79467,0.50024,0.5817,0.30465,1.73914,1.23386,1.124,0.0015446,0.0015446,0.0015446
25,851.959,1.92671,1.37838,1.14669,0.81609,0.51277,0.59518,0.31898,1.70565,1.19379,1.11439,0.0015248,0.0015248,0.0015248
26,885.228,1.94287,1.3801,1.14807,0.80877,0.51469,0.59874,0.31886,1.71695,1.1872,1.12959,0.001505,0.001505,0.001505
27,918.045,1.93439,1.39499,1.15092,0.79966,0.52314,0.59849,0.31568,1.71992,1.2211,1.11958,0.0014852,0.0014852,0.0014852
28,950.509,1.90358,1.35257,1.15034,0.81457,0.51992,0.60668,0.31952,1.6964,1.1756,1.11125,0.0014654,0.0014654,0.0014654
29,984.487,1.91379,1.37656,1.14727,0.80635,0.51733,0.59724,0.27608,1.84311,1.24308,1.13411,0.0014456,0.0014456,0.0014456
30,1016.89,1.93144,1.37666,1.14926,0.79845,0.52428,0.60329,0.3034,1.73532,1.21522,1.10678,0.0014258,0.0014258,0.0014258
31,1049.49,1.88117,1.33944,1.13686,0.81208,0.5273,0.60875,0.32172,1.68266,1.16145,1.09649,0.001406,0.001406,0.001406
