epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8495,1.61765,1.06572,1.04049,0.89461,0.624,0.70839,0.44289,1.34882,0.86177,0.99164,0.000655914,0.000655914,0.000655914
2,70.8283,1.68087,1.09902,1.05887,0.87126,0.60853,0.69209,0.39667,1.50953,0.95627,1.02304,0.00130949,0.00130949,0.00130949
3,103.977,1.69574,1.11827,1.06216,0.87863,0.60151,0.68682,0.40614,1.45542,0.96108,1.02014,0.00194986,0.00194986,0.00194986
4,138.309,1.73819,1.16291,1.07956,0.87241,0.59855,0.68384,0.40532,1.47878,0.94459,1.03481,0.0019406,0.0019406,0.0019406
5,171.851,1.71379,1.12945,1.07697,0.88416,0.59402,0.68292,0.40004,1.49032,0.95296,1.02883,0.0019208,0.0019208,0.0019208
6,205.891,1.71819,1.1341,1.07758,0.8632,0.59348,0.6787,0.39881,1.48733,0.9588,1.02754,0.001901,0.001901,0.001901
7,240.415,1.71441,1.14829,1.07715,0.87607,0.58568,0.67774,0.36578,1.62234,1.01729,1.05577,0.0018812,0.0018812,0.0018812
8,273.784,1.73536,1.14205,1.08331,0.86961,0.59294,0.68031,0.39549,1.50976,0.965,1.03192,0.0018614,0.0018614,0.0018614
9,308.395,1.73504,1.15064,1.0875,0.87601,0.59606,0.683,0.40189,1.49555,0.96793,1.03572,0.0018416,0.0018416,0.0018416
10,342.406,1.74058,1.15373,1.07135,0.86622,0.60127,0.68133,0.40142,1.49248,0.96886,1.03376,0.0018218,0.0018218,0.0018218
11,378.325,1.72796,1.15383,1.07724,0.87891,0.60408,0.68908,0.40687,1.48083,0.95297,1.03069,0.001802,0.001802,0.001802
12,412.206,1.73209,1.14504,1.07098,0.87822,0.60582,0.69012,0.3996,1.48148,0.94881,1.02734,0.0017822,0.0017822,0.0017822
13,446.499,1.73494,1.15068,1.07772,0.88312,0.60829,0.69393,0.41037,1.44816,0.92437,1.01787,0.0017624,0.0017624,0.0017624
14,481.358,1.71036,1.15472,1.07125,0.88652,0.6052,0.69351,0.40985,1.46472,0.9367,1.0218,0.0017426,0.0017426,0.0017426
15,516.29,1.74801,1.15395,1.07515,0.87587,0.60037,0.68748,0.4046,1.49266,0.94865,1.0349,0.0017228,0.0017228,0.0017228
16,551.672,1.70794,1.12793,1.07015,0.88849,0.60721,0.69494,0.40825,1.46764,0.93227,1.02048,0.001703,0.001703,0.001703
17,586.173,1.69772,1.12273,1.06895,0.89354,0.60891,0.69841,0.4151,1.44855,0.91241,1.01724,0.0016832,0.0016832,0.0016832
18,621.494,1.68196,1.10249,1.063,0.87934,0.60957,0.69505,0.41246,1.44491,0.93332,1.01692,0.0016634,0.0016634,0.0016634
19,656.841,1.65435,1.09182,1.05613,0.89709,0.61205,0.69876,0.41826,1.4397,0.91631,1.01252,0.0016436,0.0016436,0.0016436
20,692.615,1.67684,1.10284,1.05641,0.89072,0.61136,0.69947,0.42239,1.43002,0.90203,1.01443,0.0016238,0.0016238,0.0016238
21,727.607,1.66467,1.0944,1.05275,0.88928,0.59811,0.68713,0.38486,1.53139,0.93677,1.02581,0.001604,0.001604,0.001604
22,763.057,1.67456,1.09431,1.06181,0.88855,0.61521,0.70173,0.41576,1.44274,0.91025,1.01047,0.0015842,0.0015842,0.0015842
23,796.306,1.66107,1.08645,1.05666,0.88607,0.62316,0.70622,0.42505,1.4187,0.89885,1.00795,0.0015644,0.0015644,0.0015644
24,831.596,1.6759,1.10092,1.05914,0.88422,0.61422,0.69959,0.42592,1.41855,0.91309,1.00967,0.0015446,0.0015446,0.0015446
25,865.929,1.63997,1.07517,1.0488,0.88831,0.60739,0.69542,0.39592,1.49021,0.91443,1.01609,0.0015248,0.0015248,0.0015248
26,901.842,1.64253,1.06572,1.04723,0.89542,0.62028,0.70695,0.42733,1.40188,0.87995,1.00324,0.001505,0.001505,0.001505
27,935.738,1.65336,1.08422,1.0493,0.89243,0.6225,0.70902,0.42934,1.40156,0.89005,1.00288,0.0014852,0.0014852,0.0014852
28,972.861,1.62514,1.05691,1.05024,0.89576,0.61776,0.70864,0.43245,1.4035,0.8771,1.00606,0.0014654,0.0014654,0.0014654
29,1007.49,1.62731,1.06873,1.04838,0.89243,0.61692,0.70753,0.41386,1.44086,0.89936,1.00316,0.0014456,0.0014456,0.0014456
30,1043.39,1.66107,1.08428,1.05408,0.89197,0.62214,0.71093,0.41854,1.44977,0.89903,1.01292,0.0014258,0.0014258,0.0014258
31,1078.41,1.61887,1.04955,1.04954,0.88659,0.6249,0.71111,0.43293,1.39005,0.86633,0.99577,0.001406,0.001406,0.001406
32,1116.15,1.61615,1.05545,1.04155,0.90299,0.62451,0.7138,0.43966,1.37886,0.87059,0.9971,0.0013862,0.0013862,0.0013862
33,1152.08,1.62066,1.06442,1.04948,0.90212,0.6228,0.7127,0.44137,1.3474,0.85805,0.99123,0.0013664,0.0013664,0.0013664
34,1188.16,1.58253,1.03225,1.03439,0.89468,0.63047,0.71698,0.44089,1.37027,0.85318,0.99086,0.0013466,0.0013466,0.0013466
35,1224.44,1.60175,1.0378,1.03934,0.908,0.62963,0.71565,0.44313,1.35366,0.85402,0.9908,0.0013268,0.0013268,0.0013268
36,1259.76,1.58858,1.03814,1.02886,0.90148,0.62442,0.71558,0.41961,1.43912,0.87615,0.99855,0.001307,0.001307,0.001307
37,1295.9,1.596,1.03448,1.04398,0.89981,0.63005,0.71664,0.4328,1.39306,0.86286,0.9971,0.0012872,0.0012872,0.0012872
38,1330.14,1.6073,1.05025,1.0456,0.90021,0.63069,0.71767,0.43792,1.37682,0.84861,0.98944,0.0012674,0.0012674,0.0012674
39,1365.58,1.5947,1.02705,1.03643,0.90452,0.63605,0.72081,0.44751,1.351,0.84117,0.98514,0.0012476,0.0012476,0.0012476
40,1401.32,1.60449,1.04192,1.04353,0.90231,0.63081,0.72218,0.43817,1.36505,0.85314,0.98612,0.0012278,0.0012278,0.0012278
41,1437.97,1.58164,1.03024,1.03153,0.91025,0.62543,0.71787,0.44952,1.33144,0.83389,0.98219,0.001208,0.001208,0.001208
42,1473.09,1.59372,1.03148,1.03296,0.90017,0.63683,0.7269,0.44343,1.38125,0.83566,0.99174,0.0011882,0.0011882,0.0011882
43,1508.34,1.59602,1.03802,1.03903,0.89751,0.63581,0.72518,0.45205,1.34231,0.83147,0.98122,0.0011684,0.0011684,0.0011684
44,1543.33,1.58135,1.01415,1.02646,0.90694,0.63521,0.72625,0.45221,1.32956,0.82782,0.9791,0.0011486,0.0011486,0.0011486
45,1579.96,1.55488,0.99487,1.03049,0.90373,0.63359,0.72161,0.41694,1.45523,0.8585,1.00151,0.0011288,0.0011288,0.0011288
