epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7249,1.33223,0.84993,0.96437,0.91848,0.67196,0.75531,0.49125,1.23041,0.7343,0.95159,0.000655914,0.000655914,0.000655914
2,57.1697,1.50694,0.93758,1.00089,0.91038,0.66141,0.74497,0.47542,1.27428,0.77541,0.95939,0.00132128,0.00132128,0.00132128
3,85.3884,1.58604,0.9966,1.028,0.89362,0.64522,0.7324,0.43668,1.37468,0.83135,0.98001,0.0019814,0.0019814,0.0019814
4,111.913,1.56677,0.99693,1.02639,0.91336,0.64343,0.73512,0.45919,1.31452,0.80853,0.97045,0.00198229,0.00198229,0.00198229
5,138.755,1.58349,1.00624,1.02968,0.89783,0.64648,0.73469,0.43133,1.43998,0.85884,0.99923,0.00196858,0.00196858,0.00196858
6,165.871,1.58669,1.01236,1.03082,0.90737,0.64984,0.73687,0.45543,1.34373,0.81947,0.98211,0.00195106,0.00195106,0.00195106
7,193.621,1.572,0.99628,1.02318,0.90164,0.64924,0.7374,0.45003,1.36058,0.82504,0.97924,0.00192978,0.00192978,0.00192978
8,221.178,1.5726,0.98982,1.02059,0.9131,0.6478,0.7375,0.46578,1.30759,0.80697,0.97395,0.00190483,0.00190483,0.00190483
9,248.748,1.56187,0.99585,1.02479,0.91517,0.65332,0.73957,0.47264,1.295,0.79969,0.97231,0.00187631,0.00187631,0.00187631
10,275.915,1.59044,1.01183,1.0425,0.90683,0.65044,0.73809,0.45552,1.34572,0.8176,0.98167,0.00184433,0.00184433,0.00184433
11,304.68,1.55868,0.98701,1.0246,0.91321,0.6473,0.73484,0.45338,1.34208,0.79782,0.97823,0.00180902,0.00180902,0.00180902
12,331.871,1.55396,0.98985,1.02518,0.91408,0.64936,0.73787,0.45396,1.34646,0.80914,0.98003,0.00177052,0.00177052,0.00177052
13,358.963,1.57237,0.99921,1.03028,0.91163,0.65501,0.74097,0.46877,1.29753,0.79372,0.97097,0.00172897,0.00172897,0.00172897
14,386.406,1.56776,0.9948,1.02018,0.91568,0.6517,0.74261,0.46689,1.30746,0.79311,0.96622,0.00168455,0.00168455,0.00168455
15,413.481,1.57679,0.99791,1.03045,0.91006,0.65526,0.74238,0.47641,1.2776,0.79144,0.96635,0.00163743,0.00163743,0.00163743
16,440.498,1.56167,0.98566,1.02931,0.91646,0.65579,0.7423,0.46403,1.29092,0.78298,0.96634,0.00158779,0.00158779,0.00158779
17,467.345,1.53439,0.97025,1.01964,0.92023,0.6557,0.74336,0.48327,1.24988,0.77205,0.9628,0.00153583,0.00153583,0.00153583
18,493.485,1.51243,0.9511,1.00972,0.92531,0.65895,0.7495,0.48038,1.26447,0.77121,0.96026,0.00148176,0.00148176,0.00148176
19,520.66,1.51989,0.96914,1.01281,0.91044,0.66503,0.74755,0.48394,1.23904,0.77252,0.95442,0.00142579,0.00142579,0.00142579
20,547.281,1.53796,0.96667,1.01392,0.919,0.66534,0.75232,0.48594,1.24974,0.76159,0.95746,0.00136813,0.00136813,0.00136813
21,573.754,1.50153,0.94273,1.01077,0.90455,0.66603,0.74735,0.4612,1.32983,0.7803,0.96836,0.00130902,0.00130902,0.00130902
22,601.759,1.48024,0.92517,1.00536,0.90892,0.67178,0.7529,0.48118,1.26817,0.76234,0.95847,0.0012487,0.0012487,0.0012487
23,628.498,1.49197,0.94372,1.00826,0.92194,0.67064,0.7542,0.48822,1.23926,0.75352,0.9531,0.00118739,0.00118739,0.00118739
24,656.181,1.51388,0.9495,1.00224,0.92015,0.66831,0.75288,0.48867,1.23532,0.75351,0.95297,0.00112534,0.00112534,0.00112534
25,683.698,1.47439,0.91863,1.0045,0.91909,0.66955,0.75712,0.49021,1.23509,0.7479,0.94842,0.0010628,0.0010628,0.0010628
26,710.867,1.48482,0.92855,1.00732,0.92054,0.67652,0.76035,0.49635,1.22072,0.73783,0.94615,0.00100001,0.00100001,0.00100001
27,737.328,1.45611,0.92704,0.99869,0.91658,0.68012,0.76121,0.50098,1.20466,0.73305,0.94391,0.00093722,0.00093722,0.00093722
28,764.176,1.46832,0.92241,0.99726,0.92579,0.67392,0.7608,0.48699,1.24306,0.73786,0.94788,0.000874678,0.000874678,0.000874678
29,790.773,1.46734,0.92886,0.99564,0.92261,0.67905,0.76229,0.5096,1.16963,0.71682,0.93563,0.000812631,0.000812631,0.000812631
30,818.184,1.42509,0.88916,0.99235,0.92582,0.6785,0.76345,0.50757,1.17127,0.71244,0.93577,0.000751323,0.000751323,0.000751323
31,845.157,1.42582,0.89207,0.98787,0.92447,0.67736,0.76298,0.5133,1.1602,0.70958,0.9345,0.000690996,0.000690996,0.000690996
32,872.303,1.40583,0.87852,0.98796,0.93057,0.67984,0.76593,0.51324,1.15842,0.70104,0.9333,0.000631889,0.000631889,0.000631889
33,901.238,1.41857,0.88935,0.98289,0.92734,0.6818,0.76584,0.51762,1.14375,0.69886,0.93132,0.000574235,0.000574235,0.000574235
34,928.216,1.40689,0.88503,0.98593,0.92651,0.68557,0.76879,0.52386,1.11917,0.69009,0.92517,0.000518261,0.000518261,0.000518261
35,955.482,1.41445,0.88129,0.98239,0.92842,0.68419,0.76878,0.52181,1.12788,0.69008,0.92595,0.000464189,0.000464189,0.000464189
36,982.299,1.4013,0.86938,0.98189,0.92689,0.68689,0.76982,0.52836,1.10845,0.68404,0.92277,0.000412231,0.000412231,0.000412231
