epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.209,3.051,3.14291,1.72852,0.02158,0.3814,0.05435,0.0143,2.73544,2.93688,1.58728,0.000655914,0.000655914,0.000655914
2,77.3846,2.69337,2.40815,1.47489,0.35986,0.15463,0.13938,0.04154,2.74997,2.61158,1.53523,0.00129639,0.00129639,0.00129639
3,113.708,2.65604,2.26338,1.43609,0.22317,0.23996,0.13043,0.03841,2.6646,2.82886,1.53707,0.00191047,0.00191047,0.00191047
4,148.399,2.63491,2.25402,1.44299,0.30249,0.24859,0.18333,0.05881,2.58451,2.23273,1.47978,0.0018812,0.0018812,0.0018812
5,185.398,2.56263,2.1773,1.4154,0.30203,0.25153,0.18314,0.05789,2.56268,2.33282,1.46104,0.0018416,0.0018416,0.0018416
6,220.605,2.54592,2.13425,1.40383,0.29772,0.23781,0.17379,0.05448,2.51954,2.22756,1.44263,0.001802,0.001802,0.001802
7,255.743,2.51463,2.12062,1.3864,0.3049,0.23731,0.17525,0.06074,2.51414,2.19482,1.51137,0.0017624,0.0017624,0.0017624
8,289.998,2.49899,2.09864,1.38063,0.36572,0.29825,0.23571,0.07804,2.41857,2.096,1.37655,0.0017228,0.0017228,0.0017228
9,328.158,2.47452,2.07287,1.38203,0.35962,0.30873,0.24489,0.08009,2.40882,2.14906,1.39335,0.0016832,0.0016832,0.0016832
10,364.151,2.45912,2.0224,1.35806,0.37127,0.30153,0.24644,0.08378,2.38982,2.02155,1.37076,0.0016436,0.0016436,0.0016436
11,399.211,2.44988,2.04111,1.35473,0.43365,0.33068,0.29288,0.10121,2.35079,1.95904,1.41471,0.001604,0.001604,0.001604
12,437.279,2.43685,1.98551,1.33952,0.36779,0.29476,0.24504,0.08681,2.37618,2.00954,1.36746,0.0015644,0.0015644,0.0015644
13,471.719,2.41012,1.97735,1.33325,0.40396,0.31077,0.27425,0.1043,2.29714,1.91438,1.35585,0.0015248,0.0015248,0.0015248
14,508.913,2.38711,1.98476,1.33274,0.40139,0.31551,0.27019,0.09473,2.35547,1.95368,1.34461,0.0014852,0.0014852,0.0014852
15,543.997,2.38978,1.94243,1.31437,0.46163,0.32936,0.31382,0.12223,2.23943,1.84857,1.31432,0.0014456,0.0014456,0.0014456
16,582.017,2.33968,1.8851,1.31095,0.46695,0.35112,0.32909,0.11641,2.26045,1.85557,1.30134,0.001406,0.001406,0.001406
17,618.859,2.34334,1.89094,1.30643,0.50667,0.3446,0.35058,0.13905,2.21638,1.78434,1.32516,0.0013664,0.0013664,0.0013664
18,656.419,2.30622,1.85441,1.29324,0.5066,0.34003,0.34665,0.12918,2.21488,1.83673,1.29162,0.0013268,0.0013268,0.0013268
19,694.099,2.28117,1.81579,1.2859,0.56905,0.36749,0.38923,0.15512,2.18319,1.73987,1.30757,0.0012872,0.0012872,0.0012872
20,731.944,2.26626,1.79458,1.269,0.52258,0.34135,0.35738,0.14489,2.17402,1.78195,1.31838,0.0012476,0.0012476,0.0012476
21,771.252,2.25001,1.78645,1.26269,0.5375,0.36461,0.37536,0.14953,2.12927,1.71712,1.25648,0.001208,0.001208,0.001208
22,810.235,2.2274,1.74726,1.26275,0.57841,0.38842,0.40012,0.15785,2.17177,1.75069,1.29942,0.0011684,0.0011684,0.0011684
23,855.425,2.21626,1.72258,1.25951,0.61192,0.38578,0.42442,0.18129,2.08663,1.62245,1.25562,0.0011288,0.0011288,0.0011288
24,895.811,2.20873,1.73289,1.25459,0.5791,0.39609,0.42036,0.17883,2.11161,1.71081,1.2813,0.0010892,0.0010892,0.0010892
25,936.254,2.16809,1.68439,1.23325,0.63796,0.40574,0.45733,0.20465,2.00373,1.54676,1.22802,0.0010496,0.0010496,0.0010496
26,979.033,2.17083,1.66401,1.23887,0.65406,0.40359,0.45159,0.19479,2.05721,1.57683,1.25904,0.00101,0.00101,0.00101
27,1019.13,2.14803,1.66734,1.22838,0.67518,0.39759,0.45425,0.20242,2.0426,1.55715,1.25744,0.0009704,0.0009704,0.0009704
28,1060.64,2.11006,1.62557,1.22789,0.68116,0.4112,0.47709,0.21906,1.97471,1.49992,1.22776,0.0009308,0.0009308,0.0009308
29,1101.25,2.11142,1.61762,1.22136,0.69287,0.43962,0.49116,0.20803,2.00694,1.50105,1.19928,0.0008912,0.0008912,0.0008912
30,1143.89,2.10848,1.60968,1.20941,0.70932,0.44945,0.50438,0.22759,1.94769,1.49699,1.19174,0.0008516,0.0008516,0.0008516
31,1185.21,2.0732,1.571,1.21251,0.71855,0.45167,0.52202,0.2486,1.88108,1.4001,1.1664,0.000812,0.000812,0.000812
32,1226.77,2.06152,1.55261,1.1914,0.73047,0.47172,0.53574,0.25511,1.87924,1.38106,1.15682,0.0007724,0.0007724,0.0007724
33,1268.88,2.05517,1.5428,1.20108,0.73622,0.45155,0.51828,0.25801,1.84694,1.37354,1.17466,0.0007328,0.0007328,0.0007328
34,1308.72,2.01526,1.51452,1.17888,0.75645,0.46013,0.53608,0.26765,1.82016,1.3496,1.1589,0.0006932,0.0006932,0.0006932
35,1347.47,2.02469,1.49987,1.18225,0.75492,0.4693,0.542,0.2708,1.83346,1.3444,1.16364,0.0006536,0.0006536,0.0006536
36,1390.15,2.00265,1.48713,1.16568,0.73329,0.45743,0.52912,0.22968,1.94936,1.43054,1.16407,0.000614,0.000614,0.000614
37,1430.56,1.99324,1.47957,1.18064,0.7541,0.49358,0.56301,0.26585,1.83236,1.33286,1.14255,0.0005744,0.0005744,0.0005744
38,1470.62,2.00995,1.48397,1.18644,0.76434,0.48447,0.55908,0.28854,1.79214,1.27394,1.1426,0.0005348,0.0005348,0.0005348
39,1511.01,1.97156,1.45669,1.16211,0.7645,0.48719,0.56338,0.27889,1.78849,1.30303,1.12791,0.0004952,0.0004952,0.0004952
40,1549.75,1.95663,1.43901,1.16402,0.79232,0.4946,0.57797,0.30411,1.72844,1.24606,1.11934,0.0004556,0.0004556,0.0004556
41,1587.8,1.95305,1.4583,1.18382,0.76092,0.48111,0.56212,0.29557,1.75163,1.2808,1.11276,0.000416,0.000416,0.000416
42,1623.32,1.92587,1.42942,1.17652,0.80766,0.51349,0.59244,0.31616,1.71075,1.20949,1.11005,0.0003764,0.0003764,0.0003764
43,1659.09,1.86757,1.35557,1.14506,0.82112,0.52153,0.60569,0.31873,1.69255,1.19399,1.09766,0.0003368,0.0003368,0.0003368
44,1693.92,1.85969,1.35972,1.15729,0.82645,0.52656,0.61156,0.32993,1.65026,1.15625,1.09361,0.0002972,0.0002972,0.0002972
45,1729.26,1.81144,1.30364,1.12996,0.8162,0.52374,0.61083,0.32805,1.66863,1.16917,1.08694,0.0002576,0.0002576,0.0002576
46,1762.94,1.81708,1.30677,1.12633,0.82358,0.54305,0.62424,0.33964,1.63905,1.14111,1.07873,0.000218,0.000218,0.000218
47,1799.68,1.79457,1.29409,1.13309,0.83775,0.54457,0.62831,0.35483,1.58415,1.10334,1.07003,0.0001784,0.0001784,0.0001784
48,1834.49,1.77303,1.26236,1.12741,0.84534,0.54533,0.63194,0.35813,1.58376,1.0956,1.06742,0.0001388,0.0001388,0.0001388
49,1870.25,1.76714,1.26231,1.12005,0.84519,0.55193,0.63716,0.35952,1.58345,1.08594,1.06463,9.92e-05,9.92e-05,9.92e-05
50,1904.55,1.75925,1.25669,1.11906,0.84615,0.55684,0.64129,0.36995,1.54577,1.06482,1.05885,5.96e-05,5.96e-05,5.96e-05
