epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9476,1.61749,1.06558,1.04051,0.89584,0.62358,0.70857,0.44292,1.34754,0.8618,0.99192,0.000655914,0.000655914,0.000655914
2,75.2925,1.68097,1.09885,1.05935,0.86993,0.60847,0.69226,0.39743,1.50366,0.95403,1.022,0.00130949,0.00130949,0.00130949
3,114.063,1.6924,1.11647,1.06123,0.87857,0.60175,0.68634,0.40261,1.46237,0.96382,1.02148,0.00194986,0.00194986,0.00194986
4,149.873,1.74278,1.16309,1.08094,0.87344,0.59876,0.68385,0.40183,1.49363,0.94834,1.04033,0.0019406,0.0019406,0.0019406
5,187.764,1.72025,1.13546,1.07877,0.87905,0.59568,0.68047,0.39829,1.49343,0.95297,1.03227,0.0019208,0.0019208,0.0019208
6,224.587,1.72194,1.13711,1.07804,0.86473,0.59563,0.68019,0.39832,1.49294,0.95988,1.03193,0.001901,0.001901,0.001901
7,261.852,1.71931,1.14891,1.07762,0.86953,0.5894,0.67666,0.36632,1.60204,1.00336,1.05233,0.0018812,0.0018812,0.0018812
8,297.343,1.73166,1.14126,1.08334,0.87555,0.59775,0.68491,0.40009,1.49939,0.95929,1.03287,0.0018614,0.0018614,0.0018614
9,336.023,1.74556,1.15515,1.09133,0.87303,0.59384,0.68231,0.39671,1.5092,0.96525,1.0366,0.0018416,0.0018416,0.0018416
10,373.018,1.74606,1.15793,1.07323,0.87443,0.59635,0.68125,0.40245,1.48653,0.97117,1.03717,0.0018218,0.0018218,0.0018218
11,408.483,1.72621,1.15653,1.07715,0.88024,0.59804,0.68675,0.40102,1.48926,0.95959,1.03403,0.001802,0.001802,0.001802
12,446.995,1.73936,1.14804,1.07334,0.86721,0.59408,0.6795,0.38897,1.51298,0.98518,1.04054,0.0017822,0.0017822,0.0017822
13,482.661,1.74487,1.15589,1.0777,0.88457,0.60661,0.69239,0.4093,1.44599,0.93292,1.01675,0.0017624,0.0017624,0.0017624
14,520.078,1.70611,1.16002,1.07055,0.87776,0.60397,0.6876,0.38908,1.53174,0.95954,1.03675,0.0017426,0.0017426,0.0017426
15,556.114,1.75694,1.16277,1.07785,0.87519,0.59911,0.68208,0.39851,1.52511,0.97456,1.04724,0.0017228,0.0017228,0.0017228
16,592.985,1.70997,1.1317,1.07304,0.88151,0.60975,0.69499,0.41098,1.45801,0.93315,1.01978,0.001703,0.001703,0.001703
17,628.702,1.7011,1.12037,1.07049,0.89711,0.60906,0.6978,0.41538,1.44797,0.91018,1.02326,0.0016832,0.0016832,0.0016832
18,667.159,1.68008,1.10128,1.06216,0.87594,0.60943,0.69314,0.40883,1.45983,0.93674,1.01502,0.0016634,0.0016634,0.0016634
19,703.402,1.65432,1.0923,1.05375,0.88965,0.61128,0.69534,0.41654,1.44058,0.92927,1.01435,0.0016436,0.0016436,0.0016436
20,739.257,1.67916,1.10987,1.05743,0.89071,0.61284,0.70373,0.42481,1.42474,0.90372,1.00907,0.0016238,0.0016238,0.0016238
21,776.309,1.66374,1.09807,1.05338,0.89081,0.60517,0.69336,0.41608,1.44068,0.92514,1.01436,0.001604,0.001604,0.001604
22,811.374,1.67598,1.09766,1.06226,0.89004,0.60907,0.69777,0.40925,1.46005,0.92145,1.01668,0.0015842,0.0015842,0.0015842
